,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,padj.IHW,log2fc.shrunk
ttdA,842.248114009091,-2.83324926019367,0.108828895876925,-26.0339796463414,2.04309694769291e-149,7.77807007986691e-146,6.88765317351783e-146,-2.82617197609391
rapA,693.532565070232,-2.30726083856515,0.110750049757591,-20.8330456159186,2.17200642350058e-96,4.13441422713336e-93,3.67580868423507e-93,-2.29204538943984
comR,408.621480364214,-6.32653994929547,0.322508359032629,-19.6166696834527,1.11417601127685e-85,1.41388935831033e-82,1.25203031417478e-82,-6.23089897094765
ypjA,3615.31176930651,-1.15939202151368,0.060683739727628,-19.1054807550997,2.27324295780771e-81,2.16355898509349e-78,1.91363583818918e-78,-1.14842108995734
fhlA,1634.61775479815,-1.28867213300788,0.0762400209809904,-16.9028302514396,4.28820517545007e-64,3.26503942058768e-61,2.88664456651429e-61,-1.27084512193309
pcm,997.326700315837,-1.52099932012042,0.0916707724587659,-16.5919766936029,7.96550060879672e-62,5.05411013628152e-59,3.73050945178646e-59,-1.49513151895894
umpG,776.609395837381,-1.67846480170301,0.10124759065896,-16.577824625543,1.00812539135249e-61,5.48276194982704e-59,4.84942163894627e-59,-1.6483108058168
hypE,1436.80234147207,-1.26029121053995,0.0808317878901898,-15.5915295632464,8.31192953833139e-55,3.95543946905345e-52,2.9195652503389e-52,-1.24037670370478
mutS,2123.97836060617,-1.06214978092374,0.0707939895482016,-15.0033892382991,6.97640541395899e-51,2.95101949010465e-48,2.17818880146942e-48,-1.04780388440625
hycC,1339.19242931107,-1.22292018079119,0.0821361023515377,-14.8889482916679,3.88837858029216e-50,1.48030572551723e-47,1.31084347703766e-47,-1.20254034806625
yfjQ,1656.82473969879,-1.12985603396353,0.0770722473609232,-14.6597001210112,1.16787609880417e-48,4.04191300740681e-46,3.57348402827376e-46,-1.11240175066623
gcvH,281.557688660693,-2.20514757501035,0.162910894865869,-13.5359122348811,9.59834672707875e-42,3.04507549916573e-39,2.69217289961859e-39,-2.16206857201671
ptsP,1334.30475116551,-1.09471543228563,0.081263003453779,-13.4712647300599,2.30877109975317e-41,6.76114736673872e-39,5.9801345826079e-39,-1.07559883711966
gcvP,978.278818222143,-1.19263601853265,0.0906789455763645,-13.1522925300039,1.65091905080965e-39,4.48932059030881e-37,3.97073748852025e-37,-1.16805367500933
hypF,1155.17451564532,-1.11143368595144,0.0848858389799856,-13.0932756194292,3.59752037770691e-39,9.13050671862014e-37,8.08526574466218e-37,-1.09045463631505
hypD,830.220559754386,-1.25731242427288,0.0969107913658267,-12.9739155624752,1.72013642176791e-38,4.09284959854402e-36,3.61851743066267e-36,-1.2288064353586
hycE,1347.45373346127,-1.05403861980536,0.0814419161227209,-12.9422129289919,2.60029945143894e-38,5.82314118331062e-36,5.14828052330946e-36,-1.03518270943849
sdaC,321.473850556464,-1.96974897028852,0.152282019325635,-12.9348755618776,2.86085912655336e-38,6.05071705266035e-36,5.35804384402353e-36,-1.91542340919226
truD,451.140729510865,-1.59693314824509,0.126076742388629,-12.6663579498476,9.0834766202416e-37,1.8200418680663e-34,1.61168734914981e-34,-1.54882666682396
fhuB,224.057018693184,-2.37314299138104,0.1878695839392,-12.631863772845,1.40900885827989e-36,2.68204836173576e-34,2.37121802625573e-34,-2.33047257299789
ydhF,132.076552928984,-3.53773882043887,0.281683210158229,-12.5592818203528,3.53527058856075e-36,6.40894053840513e-34,5.66618989824337e-34,-3.48876596191103
ybeX,115.927747933273,-4.51603181882865,0.367547928568848,-12.2869195220692,1.06487056661558e-34,1.84271011232069e-32,1.62984976819484e-32,-4.41829790440927
nrdE,1741.89263094653,-0.908867443412778,0.0746306529081106,-12.178205710351,4.06118201575374e-34,6.72213910172803e-32,5.9456323506723e-32,-0.894277890041885
yfjP,794.568545169089,-1.19447202048626,0.0988063541142401,-12.0890202982817,1.20717622958235e-33,1.914883294175e-31,1.69567153067698e-31,-1.16533547798789
abpB,1057.9057876316,-1.04006640541593,0.0878540516052994,-11.8385707478651,2.46619857235074e-32,3.7555271859757e-30,3.33894928899322e-30,-1.01831886822153
ygfK,1937.72021982939,-0.840205295644977,0.0719755573547519,-11.673480922194,1.74148824244375e-31,2.54994066883975e-29,2.25802888887275e-29,-0.827308877762186
ascB,788.18401052332,-1.12446894152531,0.0972598673945788,-11.5614895603691,6.45787418229314e-31,8.78040250428214e-29,6.72097276009027e-29,-1.09689386483631
wzzE,320.400711840107,-1.70746063676789,0.147549026302894,-11.5721579433723,5.702997173393e-31,8.04122601448413e-29,6.8939307220767e-29,-1.64409317021769
xdhD,1626.25275069262,-0.857676463329075,0.0753076685005255,-11.3889658305261,4.74588894206117e-30,6.23020662152651e-28,5.5105253669622e-28,-0.843377339712869
abpA,1229.68930482556,-1.02109691690913,0.0906055595986639,-11.2696938403346,1.85212789778545e-29,2.32587847341994e-27,2.06788285386689e-27,-0.99821166241242
